Party ;Year;Percentage_of_votes 
S;1971;37,3
S;1973;25,6
S;1975;29,9
S;1977;37
S;1979;38,3
S;1981;32,9
S;1984;31,6
S;1987;29,3
S;1988;29,8
S;1990;37,4
S;1994;34,6
S;1998;35,9
S;2001;29,1
S;2005;25,8
S;2007;25,5
S;2011;24,8
S;2015;26,3
S;2019;25,9
RV;1971;14,4
RV;1973;11,2
RV;1975;7,1
RV;1977;3,6
RV;1979;5,4
RV;1981;5,1
RV;1984;5,5
RV;1987;6,2
RV;1988;5,6
RV;1990;3,5
RV;1994;4,6
RV;1998;3,9
RV;2001;5,2
RV;2005;9,2
RV;2007;5,1
RV;2011;9,5
RV;2015;4,6
RV;2019;8,6
KF;1971;16,7
KF;1973;9,2
KF;1975;5,5
KF;1977;8,5
KF;1979;12,5
KF;1981;14,5
KF;1984;23,4
KF;1987;20,8
KF;1988;19,3
KF;1990;16
KF;1994;15
KF;1998;8,9
KF;2001;9,1
KF;2005;10,3
KF;2007;10,4
KF;2011;4,9
KF;2015;3,4
KF;2019;6,6
NB;1971;NA
NB;1973;NA
NB;1975;NA
NB;1977;NA
NB;1979;NA
NB;1981;NA
NB;1984;NA
NB;1987;NA
NB;1988;NA
NB;1990;NA
NB;1994;NA
NB;1998;NA
NB;2001;NA
NB;2005;NA
NB;2007;NA
NB;2011;NA
NB;2015;NA
NB;2019;2,4
CD;1971;NA
CD;1973;7,8
CD;1975;2,2
CD;1977;6,4
CD;1979;3,2
CD;1981;8,3
CD;1984;4,6
CD;1987;4,8
CD;1988;4,7
CD;1990;5,1
CD;1994;2,8
CD;1998;4,3
CD;2001;1,8
CD;2005;1
CD;2007;NA
CD;2011;NA
CD;2015;NA
CD;2019;NA
DF;1971;NA
DF;1973;NA
DF;1975;NA
DF;1977;NA
DF;1979;NA
DF;1981;NA
DF;1984;NA
DF;1987;NA
DF;1988;NA
DF;1990;NA
DF;1994;NA
DF;1998;7,4
DF;2001;12
DF;2005;13,3
DF;2007;13,9
DF;2011;12,3
DF;2015;21,1
DF;2019;8,7
ALT;1971;NA
ALT;1973;NA
ALT;1975;NA
ALT;1977;NA
ALT;1979;NA
ALT;1981;NA
ALT;1984;NA
ALT;1987;NA
ALT;1988;NA
ALT;1990;NA
ALT;1994;NA
ALT;1998;NA
ALT;2001;NA
ALT;2005;NA
ALT;2007;NA
ALT;2011;NA
ALT;2015;4,9
ALT;2019;3
LA;1971;NA
LA;1973;NA
LA;1975;NA
LA;1977;NA
LA;1979;NA
LA;1981;NA
LA;1984;NA
LA;1987;NA
LA;1988;NA
LA;1990;NA
LA;1994;NA
LA;1998;NA
LA;2001;NA
LA;2005;NA
LA;2007;2,8
LA;2011;5
LA;2015;7,5
LA;2019;2,3
